scientificName,decimalLatitude,decimalLongitude,date_year,depth,country,basisOfRecord,datasetName
Orcinus orca,58.468153,-135.016037,2024.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,57.170764,-133.956299,2022.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,60.3,-147.0,2021.0,,,MachineObservation,Passive acoustic monitoring of killer whales in the Gulf of Alaska 2019-2021
Orcinus orca,71.5,15.7,2011.0,,,HumanObservation,
Orcinus orca,-63.453717,-56.784522,2024.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,-41.69,-54.63,1996.0,,,HumanObservation,UK Royal Navy Marine Mammal Observations
Orcinus orca,60.85,2.17,2003.0,,,HumanObservation,
Orcinus orca,58.454597,-136.029118,2020.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,60.2,-147.8,2019.0,,,MachineObservation,Passive acoustic monitoring of killer whales in the northern Gulf of Alaska
Orcinus orca,36.848572,-121.927927,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,-66.4667,78.1,1985.0,,Antarctica,HumanObservation,
Orcinus orca,32.578703,-117.996699,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,-36.25515,150.22978,1988.0,,Australia,HumanObservation,
Orcinus orca,60.83421,-147.618748,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,48.3938,-124.62067,2020.0,1.0,,MachineObservation,
Orcinus orca,58.07,4.2,2014.0,,,HumanObservation,
Orcinus orca,60.2,-147.8,2016.0,,,MachineObservation,Passive acoustic monitoring of killer whales in the northern Gulf of Alaska
Orcinus orca,68.2551,15.6769,2006.0,,,HumanObservation,European Seabirds At Sea (ESAS)
Orcinus orca,5.9,-135.52,1998.0,,,HumanObservation,"SWFSC Marine Mammal Survey, STAR 1998, Cruise 1611"
Orcinus orca,58.76655,-3.10225,2017.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,76.3,19.02,1996.0,,,HumanObservation,
Orcinus orca,59.7,-149.6,2020.0,,,MachineObservation,Passive acoustic monitoring of killer whales in the northern Gulf of Alaska
Orcinus orca,63.02,6.77,2003.0,,,HumanObservation,
Orcinus orca,13.29637,144.6523,2010.0,,,HumanObservation,MIRC NAVFAC Incidental Sightings - Vessel 1965-2014
Orcinus orca,56.356119,-132.375603,2024.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,36.792627,-121.824842,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,58.478822,-134.832802,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,57.341003,-133.545223,2021.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,70.08,19.33,2013.0,,,HumanObservation,
Orcinus orca,25.66917,-111.137683,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,59.8495,-1.254333,2020.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,56.733333,-6.316667,1990.0,,,HumanObservation,Hebridean Dolphin and Whale Trust killer whale sightings 1990-2006
Orcinus orca,60.2,-147.8,2018.0,,,MachineObservation,Passive acoustic monitoring of killer whales in the northern Gulf of Alaska
Orcinus orca,36.8029,-121.884691,2020.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,58.75,4.02,2001.0,,,HumanObservation,
Orcinus orca,50.567071,-126.777139,2020.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,-12.79,-90.91,2006.0,,,HumanObservation,"SWFSC Marine Mammal Survey, STAR 2006, Cruise 1631"
Orcinus orca,58.423245,-134.800432,2024.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,-77.42406,169.42053,2026.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,15.65,-96.48,2024.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,53.544983,-10.279567,2008.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,10.86,-88.64,2003.0,,,HumanObservation,"SWFSC Marine Mammal Survey, STAR 2003, Cruise 1624"
Orcinus orca,58.535518,-134.869392,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,-63.580983,-64.8729,2025.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,33.492278,-117.767211,2024.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,-68.532,77.68,2001.0,0.0,Antarctica::text,HumanObservation,
Orcinus orca,5.5,-82.73,1990.0,,,HumanObservation,"SWFSC Marine Mammal Survey, MOPS 1990, Cruise 1369"
Orcinus orca,-64.500776,-61.756313,2025.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,57.733333,0.883333,1984.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,-64.6,-62.65,2024.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,-35.5,134.8,2013.0,454.6666667,,HumanObservation,
Orcinus orca,51.791902,-8.268961,2001.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,60.816667,-1.328667,2019.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,-66.287247,162.185669,2024.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,58.633808,-136.023445,2016.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,18.0,-64.683,1982.0,,,HumanObservation,Killer whales of the Caribbean Sea 1866-2012
Orcinus orca,-54.5802,158.9333,1997.0,,Australia,HumanObservation,
Orcinus orca,-64.6,-62.7,2024.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,59.892769,-149.697078,2020.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,55.34,-131.67,2020.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,-63.663639,-56.472944,2020.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,52.86217,-131.784414,2022.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,70.58,23.22,2001.0,,,HumanObservation,
Orcinus orca,58.272222,-136.411388,2021.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,48.3938,-124.62067,2019.0,1.0,,MachineObservation,
Orcinus orca,-63.008848,-58.387018,2018.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,72.75,-76.4167,1974.0,,,HumanObservation,PIROP Northwest Atlantic 1965-1992
Orcinus orca,13.3833,-61.367,2008.0,,,HumanObservation,Killer whales of the Caribbean Sea 1866-2012
Orcinus orca,59.7,-149.5,2020.0,,,MachineObservation,Passive acoustic monitoring of killer whales in the Gulf of Alaska 2019-2021
Orcinus orca,60.769167,-0.754,2021.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,56.0265,-161.8737,2008.0,,,HumanObservation,NMML 2002-2010 Bering Sea Shelf Cetacean Survey
Orcinus orca,60.581167,-1.3165,2021.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,60.3,-147.0,2020.0,,,MachineObservation,Passive acoustic monitoring of killer whales in the Gulf of Alaska 2019-2021
Orcinus orca,69.67,19.72,1994.0,,,HumanObservation,
Orcinus orca,-65.2333,64.7667,1992.0,,Antarctica,HumanObservation,
Orcinus orca,35.89383,-5.725167,1999.0,,,HumanObservation,CIRCE Marine mammals off Spain 2001-2012
Orcinus orca,57.102013,-133.82609,2021.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
